frequency	# of variants
0.000243902439024	4099.9999655
0.000256097560976	7.81627401402e-06
0.000268902439024	6.44679683059e-06
0.000282347560976	3.40910533657e-06
0.000296464939024	1.92442688045e-06
0.000311288185976	1.21610699104e-06
0.000326852595274	8.50835431852e-07
0.000343195225038	6.41595277865e-07
0.00036035498629	5.08381050207e-07
0.000378372735605	4.15656981553e-07
0.000397291372385	3.46712377164e-07
0.000417155941004	2.93100616258e-07
0.000438013738054	2.50175235077e-07
0.000459914424957	2.15139882672e-07
0.000482910146205	1.8616379193e-07
0.000507055653515	1.61962362894e-07
0.000532408436191	1.41587151715e-07
0.000559028858	1.24313426337e-07
0.0005869803009	1.09575090217e-07
0.000616329315945	9.69238276163e-08
0.000647145781743	8.60014689361e-08
0.00067950307083	7.6520146946e-08
0.000713478224371	6.82474246409e-08
0.00074915213559	6.09948398637e-08
0.000786609742369	5.46089356194e-08
0.000825940229488	4.89641750565e-08
0.000867237240962	4.39573222077e-08
0.00091059910301	3.9502979457e-08
0.000956129058161	3.55300438971e-08
0.00100393551107	3.19788960532e-08
0.00105413228662	2.87991717058e-08
0.00110683890095	2.59479968256e-08
0.001162180846	2.33885905181e-08
0.0012202898883	2.1089158218e-08
0.00128130438272	1.90220145374e-08
0.00134536960185	1.71628866199e-08
0.00141263808194	1.54903596748e-08
0.00148326998604	1.39854342525e-08
0.00155743348534	1.26311714497e-08
0.00163530515961	1.14124072359e-08
0.00171707041759	1.03155213056e-08
0.00180292393847	9.32824888562e-09
0.00189307013539	8.43952631032e-09
0.00198772364216	7.63936319192e-09
0.00208710982427	6.91873537586e-09
0.00219146531549	6.26949408998e-09
0.00230103858126	5.68428753839e-09
0.00241609051032	5.15649202896e-09
0.00253689503584	4.68015029695e-09
0.00266373978763	4.24991523831e-09
0.00279692677701	3.86099775985e-09
0.00293677311586	3.50911781131e-09
0.00308361177166	3.19045804267e-09
0.00323779236024	2.90161980725e-09
0.00339968197825	2.63958143068e-09
0.00356966607716	2.40165885543e-09
0.00374814938102	2.18546881449e-09
0.00393555685007	1.98889475663e-09
0.00413233469258	1.81005566974e-09
0.00433895142721	1.64727791253e-09
0.00455589899857	1.49907002534e-09
0.00478369394849	1.36410039496e-09
0.00502287864592	1.24117753185e-09
0.00527402257822	1.12923263841e-09
0.00553772370713	1.02730411401e-09
0.00581460989248	9.34523658011e-10
0.00610534038711	8.50103702705e-10
0.00641060740646	7.73326027794e-10
0.00673113777679	7.03531550845e-10
0.00706769466562	6.40111427598e-10
0.00742107939891	5.82499702236e-10
0.00779213336885	5.30167777376e-10
0.00818174003729	4.82620909571e-10
0.00859082703916	4.3939676636e-10
0.00902036839112	4.00065821371e-10
0.00947138681067	3.64233069374e-10
0.00994495615121	3.31540277029e-10
0.0104422039588	3.0166784449e-10
0.0109643141567	2.74335396066e-10
0.0115125298645	2.49300480959e-10
0.0120881563578	2.2635520284e-10
0.0126925641757	2.0532110569e-10
0.0133271923844	1.86043070608e-10
0.0139935520037	1.68383195004e-10
0.0146932296038	1.52215561257e-10
0.015427891084	1.37422494947e-10
0.0161992856382	1.23892484076e-10
0.0170092499201	1.1151953146e-10
0.0178597124162	1.0020346243e-10
0.018752698037	8.98506476306e-11
0.0196903329388	8.03746943497e-11
0.0206748495858	7.16968324235e-11
0.021708592065	6.37458997981e-11
0.0227940216683	5.64579685786e-11
0.0239337227517	4.9775727933e-11
0.0251304088893	4.36477591954e-11
