frequency	# of variants
0.0002	4999.99986279
0.00021	1.17284454428e-05
0.0002205	2.48997496364e-05
0.000231525	1.68285873992e-05
0.00024310125	1.07024138676e-05
0.0002552563125	7.00403386128e-06
0.000268019128125	4.81866607498e-06
0.000281420084531	3.49340194094e-06
0.000295491088758	2.65379132483e-06
0.000310265643196	2.09419606111e-06
0.000325778925355	1.70168654079e-06
0.000342067871623	1.41319438871e-06
0.000359171265204	1.19256671238e-06
0.000377129828465	1.01838578249e-06
0.000395986319888	8.77464203159e-07
0.000415785635882	7.61327389608e-07
0.000436574917676	6.64280626958e-07
0.00045840366356	5.82326562501e-07
0.000481323846738	5.12545411178e-07
0.000505390039075	4.52730741462e-07
0.000530659541029	4.01168806827e-07
0.00055719251808	3.56500041164e-07
0.000585052143984	3.17628640919e-07
0.000614304751184	2.83661047373e-07
0.000645019988743	2.53862355438e-07
0.00067727098818	2.27624255911e-07
0.000711134537589	2.04440703149e-07
0.000746691264468	1.83888976244e-07
0.000784025827692	1.6561465738e-07
0.000823227119076	1.49319555489e-07
0.00086438847503	1.34751907913e-07
0.000907607898782	1.2169838173e-07
0.000952988293721	1.09977518356e-07
0.00100063770841	9.94343471864e-08
0.00105066959383	8.99359517609e-08
0.00110320307352	8.13678149624e-08
0.00115836322719	7.36308025649e-08
0.00121628138855	6.66386706452e-08
0.00127709545798	6.03160035344e-08
0.00134095023088	5.45965062845e-08
0.00140799774242	4.94215898434e-08
0.00147839762955	4.47391986844e-08
0.00155231751102	4.05028400556e-08
0.00162993338657	3.66707814652e-08
0.0017114300559	3.32053889634e-08
0.0017970015587	3.00725833563e-08
0.00188685163663	2.72413950652e-08
0.00198119421847	2.46836010532e-08
0.00208025392939	2.23734294078e-08
0.00218426662586	2.02873188831e-08
0.00229347995715	1.84037222055e-08
0.00240815395501	1.67029432783e-08
0.00252856165276	1.51669997606e-08
0.0026549897354	1.37795037964e-08
0.00278773922217	1.25255550286e-08
0.00292712618327	1.13916413814e-08
0.00307348249244	1.03655444273e-08
0.00322715661706	9.43624739162e-09
0.00338851444791	8.59384494555e-09
0.00355794017031	7.82945482401e-09
0.00373583717882	7.13513192655e-09
0.00392262903777	6.50378589267e-09
0.00411876048965	5.92910317498e-09
0.00432469851414	5.40547439375e-09
0.00454093343984	4.92792730291e-09
0.00476798011184	4.49206511569e-09
0.00500637911743	4.09400934443e-09
0.0052566980733	3.73034582515e-09
0.00551953297696	3.39807234564e-09
0.00579550962581	3.09454637708e-09
0.0060852851071	2.81743187758e-09
0.00638954936246	2.56464498981e-09
0.00670902683058	2.33429960377e-09
0.00704447817211	2.12465503246e-09
0.00739670208072	1.93406919631e-09
0.00776653718475	1.76096142472e-09
0.00815486404399	1.60378894132e-09
0.00856260724619	1.46104005553e-09
0.0089907376085	1.33124494719e-09
0.00944027448892	1.21300188212e-09
0.00991228821337	1.10501325537e-09
0.010407902624	1.00612288872e-09
0.0109282977552	9.15344577617e-10
0.011474712643	8.31872941094e-10
0.0120484482752	7.55071546826e-10
0.0126508706889	6.84439421211e-10
0.0132834142234	6.19563637187e-10
0.0139475849345	5.60070260744e-10
0.0146449641812	5.05586446901e-10
0.0153772123903	4.55722330564e-10
0.0161460730098	4.10074050573e-10
0.0169533766603	3.68241833301e-10
0.0178010454933	3.29852719319e-10
0.018691097768	2.94577910673e-10
0.0196256526564	2.62139137454e-10
0.0206069352892	2.32304251976e-10
