,,gold,,,,3refs,,,,8refs,,,,7refs,,,,4refs,,,,1refs,,,,2refs,,,,6refs,,,,5refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
3,1,0.9868131868131869,ORDERED with align,0,0,1.0,ORDERED with align,14,5,0.2937062937062937,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,35,6,0.3131868131868132,ORDERED with align,12,4,0.5181818181818182,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,17,7,0.1258741258741259,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
14,4,-0.22727272727272727,ORDERED with align,0,0,1.0,ORDERED with align,20,7,-0.20909090909090913,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
10,1,0.9988706945228685,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align,27,1,-0.028571428571428574,ORDERED with align,26,5,-0.2377622377622378,ORDERED with align
5,1,0.6623376623376622,ORDERED with align,21,0,0.9999999999999999,ORDERED with align,21,0,0.9999999999999999,ORDERED with align,26,2,0.3714285714285715,ORDERED with align,26,2,0.3714285714285715,ORDERED with align,26,2,0.3714285714285715,ORDERED with align,26,2,0.3714285714285715,ORDERED with align,26,6,0.2517482517482518,ORDERED with align,21,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,15,4,-0.3571428571428572,ORDERED with align,15,4,-0.3571428571428572,ORDERED with align,14,3,-0.3714285714285715,ORDERED with align,14,3,-0.3714285714285715,ORDERED with align,14,3,-0.3714285714285715,ORDERED with align,14,3,-0.3714285714285715,ORDERED with align,19,6,0.3970588235294118,ORDERED with align,15,4,-0.3571428571428572,ORDERED with align
5,3,0.4835164835164835,ORDERED with align,14,6,-0.3846153846153847,ORDERED with align,19,6,-0.032967032967032975,ORDERED with align,19,6,-0.032967032967032975,ORDERED with align,14,6,-0.3846153846153847,ORDERED with align,14,6,-0.3846153846153847,ORDERED with align,14,6,-0.3846153846153847,ORDERED with align,13,3,-0.3142857142857143,ORDERED with align,19,6,-0.032967032967032975,ORDERED with align
2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,18,6,0.6363636363636365,ORDERED with align,18,6,0.6363636363636365,ORDERED with align,26,9,-0.03921568627450981,ORDERED with align,26,9,0.08333333333333334,ORDERED with align,26,9,0.08333333333333334,ORDERED with align,18,6,0.6363636363636365,ORDERED with align,18,6,0.6363636363636365,ORDERED with align
1,0,1.0,ORDERED with align,30,13,0.12,ORDERED with align,24,0,1.0,ORDERED with align,30,13,0.12,ORDERED with align,24,0,1.0,ORDERED with align,24,0,1.0,ORDERED with align,30,9,0.4421052631578947,ORDERED with align,24,0,1.0,ORDERED with align,24,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,13,4,0.6363636363636362,ORDERED with align,23,5,0.2797202797202798,ORDERED with align,13,4,0.6363636363636362,ORDERED with align,12,3,0.5363636363636364,ORDERED with align,17,5,0.5439560439560439,ORDERED with align,13,4,0.6363636363636362,ORDERED with align,23,5,0.2797202797202798,ORDERED with align,23,6,0.18881118881118883,ORDERED with align
2,14,0.2252673796791444,ORDERED with align,32,4,0.28181818181818186,ORDERED with align,34,1,0.39999999999999997,ORDERED with align,34,1,0.39999999999999997,ORDERED with align,29,10,0.675187969924812,ORDERED with align,32,4,0.28181818181818186,ORDERED with align,32,4,0.28181818181818186,ORDERED with align,34,1,0.39999999999999997,ORDERED with align,32,4,0.28181818181818186,ORDERED with align
2,0,1.0,ORDERED with align,15,2,0.19999999999999998,ORDERED with align,5,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,15,2,0.19999999999999998,ORDERED with align,15,2,0.19999999999999998,ORDERED with align,15,2,0.19999999999999998,ORDERED with align,5,0,1.0,ORDERED with align,15,2,0.19999999999999998,ORDERED with align
5,3,0.9235294117647058,ORDERED with align,18,3,0.2380952380952381,ORDERED with align,17,3,0.3214285714285715,ORDERED with align,30,8,0.24360902255639094,ORDERED with align,18,3,0.2380952380952381,ORDERED with align,30,8,0.24360902255639094,ORDERED with align,30,8,0.24360902255639094,ORDERED with align,17,3,0.3214285714285715,ORDERED with align,30,8,0.24360902255639094,ORDERED with align
8,0,1.0,ORDERED with align,22,9,0.6764705882352942,ORDERED with align,33,10,0.6521739130434783,ORDERED with align,23,2,0.2571428571428572,ORDERED with align,23,2,0.2571428571428572,ORDERED with align,23,2,0.2571428571428572,ORDERED with align,23,2,0.2571428571428572,ORDERED with align,24,3,-0.21428571428571433,ORDERED with align,23,2,0.2571428571428572,ORDERED with align
4,0,1.0,ORDERED with align,11,2,0.48181818181818187,ORDERED with align,15,5,0.3090909090909091,ORDERED with align,23,3,0.7000000000000001,ORDERED with align,15,5,0.3090909090909091,ORDERED with align,23,3,0.7000000000000001,ORDERED with align,23,3,0.7000000000000001,ORDERED with align,15,5,0.3090909090909091,ORDERED with align,23,3,0.7000000000000001,ORDERED with align
5,1,0.9964285714285712,ORDERED with align,18,2,0.7714285714285715,ORDERED with align,20,6,0.6210526315789473,ORDERED with align,8,0,1.0,ORDERED with align,16,3,-0.21428571428571433,ORDERED with align,17,6,0.5857142857142856,ORDERED with align,8,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,17,6,0.5857142857142856,ORDERED with align
11,3,0.6428571428571429,ORDERED with align,13,4,-0.3571428571428572,ORDERED with align,15,4,0.7727272727272727,ORDERED with align,0,0,1.0,ORDERED with align,15,4,0.7727272727272727,ORDERED with align,13,4,-0.3571428571428572,ORDERED with align,0,0,1.0,ORDERED with align,21,9,0.7294117647058823,ORDERED with align,15,4,0.7727272727272727,ORDERED with align
8,0,1.0,ORDERED with align,27,11,0.5629587803500848,ORDERED with align,28,4,-0.21428571428571433,ORDERED with align,28,4,-0.21428571428571433,ORDERED with align,27,11,0.5629587803500848,ORDERED with align,29,5,0.43636363636363645,ORDERED with align,28,4,-0.21428571428571433,ORDERED with align,28,4,-0.21428571428571433,ORDERED with align,28,4,-0.21428571428571433,ORDERED with align
4,1,0.6470588235294118,ORDERED with align,15,7,0.5955882352941178,ORDERED with align,20,1,0.39999999999999997,ORDERED with align,15,7,0.5955882352941178,ORDERED with align,20,2,0.2571428571428572,ORDERED with align,15,7,0.5955882352941178,ORDERED with align,15,7,0.5955882352941178,ORDERED with align,20,1,0.39999999999999997,ORDERED with align,15,7,0.5955882352941178,ORDERED with align
