,,gold,,,,3refs,,,,8refs,,,,7refs,,,,4refs,,,,1refs,,,,2refs,,,,6refs,,,,5refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
4,1,0.9979360165118679,ORDERED with align,28,10,0.5456140350877193,ORDERED with align,11,0,0.9999999999999999,ORDERED with align,28,10,0.5456140350877193,ORDERED with align,28,10,0.5456140350877193,ORDERED with align,18,5,0.5524475524475525,ORDERED with align,11,0,0.9999999999999999,ORDERED with align,11,0,0.9999999999999999,ORDERED with align,28,10,0.5456140350877193,ORDERED with align
4,1,0.9935828877005346,ORDERED with align,34,6,0.2027972027972028,ORDERED with align,34,6,0.2027972027972028,ORDERED with align,34,6,0.2027972027972028,ORDERED with align,34,6,0.2027972027972028,ORDERED with align,34,4,0.41818181818181827,ORDERED with align,34,6,0.2027972027972028,ORDERED with align,34,6,0.2027972027972028,ORDERED with align,34,6,0.2027972027972028,ORDERED with align
3,0,1.0,ORDERED with align,15,4,0.06666666666666665,ORDERED with align,17,6,-0.44545454545454555,ORDERED with align,17,6,-0.44545454545454555,ORDERED with align,17,6,-0.44545454545454555,ORDERED with align,15,4,0.06666666666666665,ORDERED with align,17,6,-0.44545454545454555,ORDERED with align,17,6,-0.44545454545454555,ORDERED with align,17,6,-0.44545454545454555,ORDERED with align
20,6,0.6584415584415585,ORDERED with align,33,4,0.4055944055944056,ORDERED with align,32,3,-0.2333333333333333,ORDERED with align,33,4,0.4055944055944056,ORDERED with align,32,3,-0.2333333333333333,ORDERED with align,33,4,0.4055944055944056,ORDERED with align,33,4,0.4055944055944056,ORDERED with align,32,3,-0.2333333333333333,ORDERED with align,33,4,0.4055944055944056,ORDERED with align
10,0,0.9999999999999999,ORDERED with align,19,4,0.5727272727272729,ORDERED with align,19,7,0.47802197802197804,ORDERED with align,11,1,0.4545454545454545,ORDERED with align,19,7,0.47802197802197804,ORDERED with align,29,7,0.3669172932330827,ORDERED with align,11,1,0.4545454545454545,ORDERED with align,19,7,0.47802197802197804,ORDERED with align,11,1,0.4545454545454545,ORDERED with align
8,0,1.0,ORDERED with align,11,3,0.261904761904762,ORDERED with align,11,3,0.261904761904762,ORDERED with align,11,3,0.261904761904762,ORDERED with align,11,3,0.261904761904762,ORDERED with align,13,4,0.6000000000000001,ORDERED with align,11,3,0.261904761904762,ORDERED with align,11,3,0.261904761904762,ORDERED with align,11,3,0.261904761904762,ORDERED with align
5,3,-0.5868131868131868,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,32,7,0.11470588235294117,ORDERED with align,16,3,-0.261904761904762,ORDERED with align,0,0,1.0,ORDERED with align,32,7,0.11470588235294117,ORDERED with align,0,0,1.0,ORDERED with align
7,4,0.9751552795031055,ORDERED with align,32,10,0.31789949181253535,ORDERED with align,32,10,0.31789949181253535,ORDERED with align,32,10,0.31789949181253535,ORDERED with align,22,7,-0.049999999999999996,ORDERED with align,32,10,0.31789949181253535,ORDERED with align,24,3,-0.7,ORDERED with align,22,7,-0.049999999999999996,ORDERED with align,32,10,0.31789949181253535,ORDERED with align
4,3,0.9559570863918693,ORDERED with align,21,1,-0.19999999999999998,ORDERED with align,21,1,-0.19999999999999998,ORDERED with align,21,1,-0.19999999999999998,ORDERED with align,21,1,-0.19999999999999998,ORDERED with align,19,9,0.3630717108977979,ORDERED with align,0,0,1.0,ORDERED with align,21,1,-0.19999999999999998,ORDERED with align,21,1,-0.19999999999999998,ORDERED with align
4,0,1.0,ORDERED with align,9,3,0.7380952380952381,ORDERED with align,20,4,0.09523809523809526,ORDERED with align,20,4,0.09523809523809526,ORDERED with align,9,3,0.7380952380952381,ORDERED with align,7,2,0.19999999999999998,ORDERED with align,23,3,0.5952380952380953,ORDERED with align,9,3,0.7380952380952381,ORDERED with align,20,4,0.09523809523809526,ORDERED with align
3,1,0.9,ORDERED with align,23,5,0.04242424242424241,ORDERED with align,14,5,-0.04242424242424241,ORDERED with align,23,5,0.04242424242424241,ORDERED with align,14,5,-0.04242424242424241,ORDERED with align,21,4,0.11515151515151514,ORDERED with align,33,3,0.642857142857143,ORDERED with align,14,5,-0.04242424242424241,ORDERED with align,14,5,-0.04242424242424241,ORDERED with align
2,1,0.9991304347826085,ORDERED with align,13,2,0.8461538461538463,ORDERED with align,20,5,-0.29696969696969694,ORDERED with align,20,5,-0.29696969696969694,ORDERED with align,20,5,0.18181818181818185,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,20,5,-0.29696969696969694,ORDERED with align,20,5,-0.29696969696969694,ORDERED with align
11,2,0.9958720330237358,ORDERED with align,23,3,-0.406060606060606,ORDERED with align,20,5,-0.07272727272727274,ORDERED with align,20,5,-0.07272727272727274,ORDERED with align,23,3,-0.406060606060606,ORDERED with align,20,5,-0.07272727272727274,ORDERED with align,23,3,-0.406060606060606,ORDERED with align,20,5,-0.07272727272727274,ORDERED with align,20,5,-0.07272727272727274,ORDERED with align
4,3,0.6783216783216784,ORDERED with align,1,0,1.0,ORDERED with align,20,5,0.34965034965034975,ORDERED with align,9,5,0.37762237762237766,ORDERED with align,20,5,0.34965034965034975,ORDERED with align,9,6,-0.12727272727272726,ORDERED with align,1,0,1.0,ORDERED with align,20,5,0.34965034965034975,ORDERED with align,9,5,0.37762237762237766,ORDERED with align
6,0,0.9999999999999999,ORDERED with align,20,3,-0.406060606060606,ORDERED with align,9,1,0.39999999999999997,ORDERED with align,9,1,0.39999999999999997,ORDERED with align,20,3,-0.406060606060606,ORDERED with align,20,3,-0.406060606060606,ORDERED with align,9,1,0.39999999999999997,ORDERED with align,20,3,-0.406060606060606,ORDERED with align,20,3,-0.406060606060606,ORDERED with align
10,5,0.9851540616246499,ORDERED with align,39,1,0.39999999999999997,ORDERED with align,32,10,0.27724449463579903,ORDERED with align,32,10,0.27724449463579903,ORDERED with align,39,1,0.39999999999999997,ORDERED with align,39,1,0.39999999999999997,ORDERED with align,32,10,0.27724449463579903,ORDERED with align,39,1,0.39999999999999997,ORDERED with align,39,1,0.39999999999999997,ORDERED with align
8,1,0.9849624060150375,ORDERED with align,23,8,0.5049019607843138,ORDERED with align,24,6,0.5989010989010989,ORDERED with align,24,6,0.5989010989010989,ORDERED with align,24,6,0.5989010989010989,ORDERED with align,24,5,0.4545454545454546,ORDERED with align,24,5,0.4545454545454546,ORDERED with align,24,5,0.4545454545454546,ORDERED with align,24,6,0.5989010989010989,ORDERED with align
8,1,0.985294117647059,ORDERED with align,22,6,0.6428571428571429,ORDERED with align,36,10,0.5143986448334276,ORDERED with align,11,0,1.0,ORDERED with align,11,0,1.0,ORDERED with align,26,5,0.5604395604395604,ORDERED with align,26,5,0.5604395604395604,ORDERED with align,22,6,0.6428571428571429,ORDERED with align,26,5,0.5604395604395604,ORDERED with align
11,2,0.988235294117647,ORDERED with align,20,3,0.5833333333333334,ORDERED with align,20,3,0.5833333333333334,ORDERED with align,2,2,0.9719298245614034,ORDERED with align,2,2,0.9719298245614034,ORDERED with align,18,4,0.7818181818181819,ORDERED with align,35,9,0.5035087719298245,ORDERED with align,35,9,0.5035087719298245,ORDERED with align,20,3,0.5833333333333334,ORDERED with align
3,0,0.9999999999999998,ORDERED with align,27,4,0.7818181818181819,ORDERED with align,23,10,0.46842105263157896,ORDERED with align,27,4,0.7818181818181819,ORDERED with align,27,4,0.7818181818181819,ORDERED with align,35,12,0.4621489621489622,ORDERED with align,26,6,0.03296703296703297,ORDERED with align,23,10,0.46842105263157896,ORDERED with align,27,4,0.7818181818181819,ORDERED with align
0,0,1.0,ORDERED with align,10,5,0.39090909090909093,ORDERED with align,10,5,0.39090909090909093,ORDERED with align,13,1,0.39999999999999997,ORDERED with align,10,5,0.39090909090909093,ORDERED with align,10,5,0.39090909090909093,ORDERED with align,10,5,0.39090909090909093,ORDERED with align,10,5,0.39090909090909093,ORDERED with align,10,5,0.39090909090909093,ORDERED with align
1,0,1.0,ORDERED with align,20,5,-0.055944055944055944,ORDERED with align,20,5,-0.055944055944055944,ORDERED with align,20,9,0.4282765737874097,ORDERED with align,20,5,-0.055944055944055944,ORDERED with align,20,5,-0.055944055944055944,ORDERED with align,22,2,0.0,ORDERED with align,20,5,-0.055944055944055944,ORDERED with align,20,5,-0.055944055944055944,ORDERED with align
2,0,1.0,ORDERED with align,11,1,0.5,ORDERED with align,11,1,0.5,ORDERED with align,11,3,0.2333333333333333,ORDERED with align,11,1,0.5,ORDERED with align,11,1,0.5,ORDERED with align,0,0,1.0,ORDERED with align,11,1,0.5,ORDERED with align,11,1,0.5,ORDERED with align
5,1,0.9736842105263157,ORDERED with align,21,8,0.16408668730650156,ORDERED with align,21,8,0.16408668730650156,ORDERED with align,19,3,0.7552447552447553,ORDERED with align,21,8,0.16408668730650156,ORDERED with align,21,8,0.16408668730650156,ORDERED with align,21,5,-0.4545454545454545,ORDERED with align,21,8,0.16408668730650156,ORDERED with align,21,8,0.16408668730650156,ORDERED with align
14,14,0.7165991902834008,ORDERED with align,38,2,0.6785714285714287,ORDERED with align,38,2,0.6785714285714287,ORDERED with align,38,2,0.6785714285714287,ORDERED with align,38,2,0.6785714285714287,ORDERED with align,36,2,0.6242424242424242,ORDERED with align,38,2,0.6785714285714287,ORDERED with align,40,4,-0.23636363636363633,ORDERED with align,40,4,-0.23636363636363633,ORDERED with align
0,0,1.0,ORDERED with align,7,3,0.14285714285714288,ORDERED with align,7,2,0.6,ORDERED with align,7,3,0.14285714285714288,ORDERED with align,7,3,0.14285714285714288,ORDERED with align,7,3,0.14285714285714288,ORDERED with align,16,3,-0.028571428571428574,ORDERED with align,6,3,0.6,ORDERED with align,6,3,0.6,ORDERED with align
0,0,0.9999999999999999,ORDERED with align,9,4,0.4761904761904762,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,9,4,0.4761904761904762,ORDERED with align,9,4,0.4761904761904762,ORDERED with align,9,4,0.4761904761904762,ORDERED with align,9,4,0.4761904761904762,ORDERED with align,9,4,0.4761904761904762,ORDERED with align,9,4,0.4761904761904762,ORDERED with align
2,1,0.9938080495356036,ORDERED with align,17,3,0.04761904761904763,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,17,3,0.04761904761904763,ORDERED with align,17,3,0.04761904761904763,ORDERED with align,16,7,0.3571428571428571,ORDERED with align,17,3,0.04761904761904763,ORDERED with align,16,7,0.3571428571428571,ORDERED with align
2,0,1.0,ORDERED with align,16,7,0.3571428571428571,ORDERED with align,9,0,1.0,ORDERED with align,9,0,1.0,ORDERED with align,16,7,0.3571428571428571,ORDERED with align,16,7,0.3571428571428571,ORDERED with align,16,7,0.3571428571428571,ORDERED with align,16,7,0.3571428571428571,ORDERED with align,16,7,0.3571428571428571,ORDERED with align
2,0,1.0,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,20,7,0.5852941176470587,ORDERED with align
3,0,1.0,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,15,3,0.6703296703296703,ORDERED with align,13,5,0.8241758241758241,ORDERED with align,15,3,0.6703296703296703,ORDERED with align,13,5,0.8241758241758241,ORDERED with align,20,7,0.5852941176470587,ORDERED with align,15,3,0.6703296703296703,ORDERED with align,13,5,0.8241758241758241,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,21,5,0.3758241758241759,ORDERED with align,31,5,0.3450549450549451,ORDERED with align,0,0,1.0,ORDERED with align,21,5,0.3758241758241759,ORDERED with align,0,0,1.0,ORDERED with align,21,5,0.3758241758241759,ORDERED with align,21,5,0.3758241758241759,ORDERED with align
3,0,1.0,ORDERED with align,15,5,0.3406593406593406,ORDERED with align,20,5,0.6527472527472528,ORDERED with align,15,5,0.3406593406593406,ORDERED with align,19,7,0.33896103896103896,ORDERED with align,15,5,0.3406593406593406,ORDERED with align,15,5,0.3406593406593406,ORDERED with align,20,6,0.5428571428571429,ORDERED with align,15,5,0.3406593406593406,ORDERED with align
15,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,29,9,0.37055335968379455,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
5,2,0.6868131868131868,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align,12,1,0.8285714285714287,ORDERED with align
13,4,0.3216783216783217,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align,23,8,0.2323529411764706,ORDERED with align
2,0,1.0,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align,17,5,0.5164835164835164,ORDERED with align
1,0,1.0,ORDERED with align,12,1,0.0,ORDERED with align,12,1,0.0,ORDERED with align,12,1,0.0,ORDERED with align,12,1,0.0,ORDERED with align,12,1,0.0,ORDERED with align,22,6,0.8571428571428571,ORDERED with align,12,1,0.0,ORDERED with align,12,1,0.0,ORDERED with align
4,0,1.0,ORDERED with align,28,8,0.7089783281733747,ORDERED with align,28,8,0.7089783281733747,ORDERED with align,28,8,0.7089783281733747,ORDERED with align,28,8,0.7089783281733747,ORDERED with align,29,7,0.5403508771929825,ORDERED with align,24,2,0.19999999999999998,ORDERED with align,28,8,0.7089783281733747,ORDERED with align,28,8,0.7089783281733747,ORDERED with align
0,0,1.0,ORDERED with align,16,4,0.23636363636363636,ORDERED with align,16,4,0.23636363636363636,ORDERED with align,18,3,0.8741258741258742,ORDERED with align,16,4,0.23636363636363636,ORDERED with align,16,4,0.23636363636363636,ORDERED with align,18,3,0.8741258741258742,ORDERED with align,16,4,0.23636363636363636,ORDERED with align,16,4,0.23636363636363636,ORDERED with align
5,6,-0.05294117647058824,ORDERED with align,16,4,0.7417582417582418,ORDERED with align,16,4,0.7417582417582418,ORDERED with align,6,3,0.945054945054945,ORDERED with align,16,4,0.7417582417582418,ORDERED with align,16,4,0.7417582417582418,ORDERED with align,6,3,0.945054945054945,ORDERED with align,16,4,0.7417582417582418,ORDERED with align,16,4,0.7417582417582418,ORDERED with align
12,5,0.8285714285714284,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align,21,4,0.5000000000000001,ORDERED with align
4,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,9,2,0.261904761904762,ORDERED with align,9,2,0.261904761904762,ORDERED with align,9,1,0.49999999999999994,ORDERED with align,9,2,0.261904761904762,ORDERED with align,9,2,0.261904761904762,ORDERED with align,9,2,0.261904761904762,ORDERED with align,9,1,0.49999999999999994,ORDERED with align,9,2,0.261904761904762,ORDERED with align
2,0,1.0,ORDERED with align,23,7,0.4245614035087719,ORDERED with align,21,1,0.0,ORDERED with align,23,7,0.4245614035087719,ORDERED with align,21,2,0.7714285714285715,ORDERED with align,21,2,0.7714285714285715,ORDERED with align,21,2,0.7714285714285715,ORDERED with align,19,3,-0.07142857142857144,ORDERED with align,21,1,0.0,ORDERED with align
0,0,1.0,ORDERED with align,33,1,0.7999999999999999,ORDERED with align,30,6,0.3727272727272728,ORDERED with align,27,2,0.7380952380952381,ORDERED with align,33,4,0.261904761904762,ORDERED with align,28,8,0.7565811965811965,ORDERED with align,28,8,0.7565811965811965,ORDERED with align,33,4,0.261904761904762,ORDERED with align,28,8,0.7565811965811965,ORDERED with align
3,0,1.0,ORDERED with align,19,5,0.29090909090909095,ORDERED with align,26,6,0.30147058823529416,ORDERED with align,19,5,0.29090909090909095,ORDERED with align,26,6,0.30147058823529416,ORDERED with align,19,4,-0.0303030303030303,ORDERED with align,19,4,-0.0303030303030303,ORDERED with align,26,6,0.30147058823529416,ORDERED with align,19,4,-0.0303030303030303,ORDERED with align
0,0,1.0,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,8,2,-0.14285714285714288,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,8,2,-0.14285714285714288,ORDERED with align,8,2,-0.14285714285714288,ORDERED with align
8,8,0.9419813902572524,ORDERED with align,26,5,0.31666666666666665,ORDERED with align,30,9,0.36274509803921573,ORDERED with align,26,5,0.31666666666666665,ORDERED with align,26,5,0.31666666666666665,ORDERED with align,26,5,0.31666666666666665,ORDERED with align,26,5,0.31666666666666665,ORDERED with align,30,8,0.3382352941176471,ORDERED with align,30,9,0.36274509803921573,ORDERED with align
7,3,0.09999999999999999,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align,16,3,0.2142857142857143,ORDERED with align
14,2,0.9368421052631578,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,29,9,0.5530434782608695,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align
10,4,-0.21678321678321683,ORDERED with align,18,2,-0.3,ORDERED with align,18,2,-0.3,ORDERED with align,16,9,-0.11428571428571425,ORDERED with align,18,2,-0.3,ORDERED with align,0,0,1.0,ORDERED with align,18,2,-0.3,ORDERED with align,18,2,-0.3,ORDERED with align,18,2,-0.3,ORDERED with align
14,3,0.8470588235294119,ORDERED with align,26,2,-0.3,ORDERED with align,26,2,-0.3,ORDERED with align,25,3,0.028571428571428574,ORDERED with align,26,2,-0.3,ORDERED with align,28,11,0.40448823207443896,ORDERED with align,26,2,-0.3,ORDERED with align,26,2,-0.3,ORDERED with align,26,2,-0.3,ORDERED with align
2,2,0.9902319902319903,ORDERED with align,34,10,0.4918125352907962,ORDERED with align,34,10,0.4918125352907962,ORDERED with align,26,0,0.9999999999999999,ORDERED with align,25,6,0.07857142857142857,ORDERED with align,26,0,0.9999999999999999,ORDERED with align,25,6,0.07857142857142857,ORDERED with align,34,10,0.4918125352907962,ORDERED with align,25,6,0.07857142857142857,ORDERED with align
23,3,0.04761904761904763,ORDERED with align,24,4,0.7090909090909092,ORDERED with align,26,2,0.09999999999999999,ORDERED with align,26,2,0.09999999999999999,ORDERED with align,26,2,0.09999999999999999,ORDERED with align,26,2,0.09999999999999999,ORDERED with align,26,2,0.09999999999999999,ORDERED with align,26,2,0.09999999999999999,ORDERED with align,26,2,0.09999999999999999,ORDERED with align
18,3,0.9733333333333332,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align,41,6,0.25274725274725274,ORDERED with align
11,5,0.7832167832167832,ORDERED with align,15,4,-0.03333333333333333,ORDERED with align,15,4,-0.03333333333333333,ORDERED with align,15,4,-0.03333333333333333,ORDERED with align,15,4,-0.03333333333333333,ORDERED with align,37,6,0.24509803921568632,ORDERED with align,15,4,-0.03333333333333333,ORDERED with align,15,4,-0.03333333333333333,ORDERED with align,37,6,0.24509803921568632,ORDERED with align
7,1,0.9683794466403164,ORDERED with align,35,12,0.2692307692307692,ORDERED with align,35,12,0.2692307692307692,ORDERED with align,35,12,0.2692307692307692,ORDERED with align,26,13,0.09692307692307693,ORDERED with align,22,4,0.33333333333333326,ORDERED with align,35,12,0.2692307692307692,ORDERED with align,35,12,0.2692307692307692,ORDERED with align,22,4,0.33333333333333326,ORDERED with align
10,4,-0.5176470588235293,ORDERED with align,16,7,0.6529411764705881,ORDERED with align,19,6,0.34965034965034975,ORDERED with align,19,6,0.34965034965034975,ORDERED with align,19,6,0.34965034965034975,ORDERED with align,16,7,0.6529411764705881,ORDERED with align,24,7,0.6904024767801857,ORDERED with align,19,6,0.34965034965034975,ORDERED with align,19,6,0.34965034965034975,ORDERED with align
1,2,0.7,ORDERED with align,15,5,0.13636363636363638,ORDERED with align,13,4,0.7727272727272727,ORDERED with align,13,4,0.7902097902097903,ORDERED with align,0,0,1.0,ORDERED with align,15,5,0.13636363636363638,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
21,7,-0.07058823529411765,ORDERED with align,26,5,0.6538461538461539,ORDERED with align,25,9,0.39999999999999997,ORDERED with align,25,9,0.39999999999999997,ORDERED with align,26,8,0.49022556390977434,ORDERED with align,26,8,0.49022556390977434,ORDERED with align,26,8,0.49022556390977434,ORDERED with align,26,5,0.6538461538461539,ORDERED with align,26,5,0.6538461538461539,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,17,6,0.11515151515151514,ORDERED with align,17,6,0.11515151515151514,ORDERED with align,17,6,0.11515151515151514,ORDERED with align,8,4,0.2121212121212121,ORDERED with align,9,4,0.6,ORDERED with align,8,4,0.2121212121212121,ORDERED with align,17,6,0.11515151515151514,ORDERED with align,17,6,0.11515151515151514,ORDERED with align
5,0,1.0,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align,12,5,0.8791208791208791,ORDERED with align
10,5,-0.09782608695652174,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align,28,4,-0.3571428571428572,ORDERED with align
9,0,0.9999999999999999,ORDERED with align,18,3,0.690909090909091,ORDERED with align,25,7,0.42414860681114547,ORDERED with align,25,7,0.42414860681114547,ORDERED with align,25,7,0.42414860681114547,ORDERED with align,25,7,0.42414860681114547,ORDERED with align,25,7,0.42414860681114547,ORDERED with align,18,2,-0.3,ORDERED with align,18,2,-0.3,ORDERED with align
2,2,0.8988648090815273,ORDERED with align,18,2,0.09999999999999999,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align
9,0,1.0,ORDERED with align,23,2,0.6363636363636362,ORDERED with align,23,2,0.6363636363636362,ORDERED with align,23,2,0.6363636363636362,ORDERED with align,24,5,0.6293706293706295,ORDERED with align,24,5,0.6293706293706295,ORDERED with align,23,2,0.6363636363636362,ORDERED with align,23,2,0.6363636363636362,ORDERED with align,23,2,0.6363636363636362,ORDERED with align
6,2,0.9278195488721804,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align,25,11,0.4947368421052631,ORDERED with align,21,3,-0.2571428571428572,ORDERED with align
2,2,0.8626373626373626,ORDERED with align,24,5,0.6293706293706295,ORDERED with align,25,7,0.38461538461538464,ORDERED with align,10,3,-0.03571428571428572,ORDERED with align,24,5,0.6293706293706295,ORDERED with align,24,5,0.6293706293706295,ORDERED with align,24,5,0.6293706293706295,ORDERED with align,13,2,0.6571428571428573,ORDERED with align,24,5,0.6293706293706295,ORDERED with align
7,2,0.9397233201581027,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,24,9,0.6904347826086955,ORDERED with align,24,9,0.6904347826086955,ORDERED with align,26,5,-0.642857142857143,ORDERED with align,26,5,-0.642857142857143,ORDERED with align,26,5,-0.642857142857143,ORDERED with align,26,5,-0.642857142857143,ORDERED with align,29,6,0.5170278637770898,ORDERED with align
5,1,0.9954887218045112,ORDERED with align,24,8,0.4892857142857142,ORDERED with align,24,8,0.4892857142857142,ORDERED with align,24,8,0.4892857142857142,ORDERED with align,22,10,0.3987012987012987,ORDERED with align,24,8,0.4892857142857142,ORDERED with align,24,8,0.4892857142857142,ORDERED with align,24,8,0.4892857142857142,ORDERED with align,22,10,0.3987012987012987,ORDERED with align
