,,5refs,,,,2refs,,,,1refs,,,,gold,,,,6refs,,,,8refs,,,,7refs,,,,4refs,,,,3refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,2,0.6969696969696969,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,3,1,0.9,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,2,0.6969696969696969,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,2,1,0.9991304347826085,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
0,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,11,2,0.9958720330237358,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,3,0.6783216783216784,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align
3,3,0.9947368421052631,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,10,5,0.9851540616246499,ORDERED with align,2,0,1.0,ORDERED with align,4,3,0.9943100995732574,ORDERED with align,3,2,0.9932158879527301,ORDERED with align,3,3,0.9947368421052631,ORDERED with align,3,2,0.9932158879527301,ORDERED with align
0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,1,0.9931623931623932,ORDERED with align,8,1,0.9849624060150375,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,8,1,0.985294117647059,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
4,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,11,2,0.988235294117647,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
8,3,0.8238283455674761,ORDERED with align,6,2,0.9397233201581027,ORDERED with align,8,2,0.9424054206662904,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,7,3,0.8211462450592886,ORDERED with align,7,3,0.9295652173913044,ORDERED with align,7,3,0.8211462450592886,ORDERED with align,7,3,0.8211462450592886,ORDERED with align,7,4,0.7547826086956521,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,5,1,0.9736842105263157,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,0,0,0.9999999999999999,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,14,14,0.7165991902834008,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9938080495356036,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,15,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,5,2,0.6868131868131868,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,13,4,0.3216783216783217,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,4,0,1.0,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,5,6,-0.05294117647058824,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,12,5,0.8285714285714284,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,3,3,0.9822134387351777,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,4,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,0.9999999999999998,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,8,8,0.9419813902572524,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,7,3,0.09999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,14,2,0.9368421052631578,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,10,4,-0.21678321678321683,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,14,3,0.8470588235294119,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,3,1,0.9573070607553366,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align
1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,2,0.9902319902319903,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align
2,1,0.9979487179487179,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,23,3,0.04761904761904763,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,3,0,1.0,ORDERED with align,2,1,0.9979487179487179,ORDERED with align,3,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,18,3,0.9733333333333332,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,11,5,0.7832167832167832,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,2,1,0.9817391304347826,ORDERED with align,2,0,1.0,ORDERED with align,7,1,0.9683794466403164,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,1,0.9817391304347826,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,10,4,-0.5176470588235293,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,2,0.7,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,21,7,-0.07058823529411765,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
3,1,0.9272727272727272,ORDERED with align,4,1,0.9500000000000001,ORDERED with align,4,1,0.9500000000000001,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,3,1,0.9272727272727272,ORDERED with align,3,0,1.0,ORDERED with align,3,1,0.9272727272727272,ORDERED with align,3,1,0.9272727272727272,ORDERED with align,4,1,0.9500000000000001,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,10,5,-0.09782608695652174,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,0,0,1.0,ORDERED with align,2,0,0.9999999999999998,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,9,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,2,2,0.8988648090815273,ORDERED with align,4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align
0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,9,0,1.0,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,6,2,0.9278195488721804,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,2,0.8626373626373626,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,7,2,0.9397233201581027,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,5,1,0.9954887218045112,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,2,0.981424148606811,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,14,6,0.9348659003831418,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,2,0.993984962406015,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,3,-1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,1,0.9975490196078433,ORDERED with align,1,1,0.9975490196078433,ORDERED with align,2,1,0.9970588235294118,ORDERED with align,6,2,-0.5549450549450549,ORDERED with align,2,2,0.982843137254902,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9970588235294118,ORDERED with align,2,2,0.982843137254902,ORDERED with align
3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,8,3,0.9264705882352943,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
4,1,0.9993434730276834,ORDERED with align,3,2,0.9603238866396762,ORDERED with align,4,1,0.9993434730276834,ORDERED with align,27,0,1.0,ORDERED with align,4,1,0.9993434730276834,ORDERED with align,4,1,0.9993434730276834,ORDERED with align,4,1,0.9993434730276834,ORDERED with align,4,1,0.9993434730276834,ORDERED with align,2,1,0.9994371482176362,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,6,3,0.7696969696969697,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,1,0.9911764705882352,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,1,0.6606060606060605,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,6,3,0.8464144551101074,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
5,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,1,0.7192982456140351,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,7,2,0.9,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,2,-0.2606060606060606,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
