,,4refs,,,,2refs,,,,8refs,,,,5refs,,,,3refs,,,,1refs,,,,gold,,,,7refs,,,,6refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,6,6,0.42280701754385963,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,13,8,0.7703081232492998,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
3,1,0.9684210526315788,ORDERED with align,2,1,0.9849624060150375,ORDERED with align,3,1,0.9684210526315788,ORDERED with align,3,1,0.9684210526315788,ORDERED with align,3,1,0.9684210526315788,ORDERED with align,3,1,0.9684210526315788,ORDERED with align,1,0,1.0,ORDERED with align,3,1,0.9684210526315788,ORDERED with align,3,1,0.9684210526315788,ORDERED with align
5,2,0.9904347826086956,ORDERED with align,5,1,0.9913043478260868,ORDERED with align,5,2,0.9904347826086956,ORDERED with align,6,2,0.9904347826086956,ORDERED with align,5,2,0.9904347826086956,ORDERED with align,6,1,0.9901185770750988,ORDERED with align,2,1,0.9873949579831932,ORDERED with align,6,2,0.9904347826086956,ORDERED with align,5,2,0.9904347826086956,ORDERED with align
7,2,0.9949392712550609,ORDERED with align,8,0,1.0,ORDERED with align,7,2,0.9949392712550609,ORDERED with align,8,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,6,2,0.9949392712550609,ORDERED with align,3,1,0.9256965944272446,ORDERED with align,8,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align
4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,1,0.9926470588235295,ORDERED with align,6,1,0.9272727272727275,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,1,0.9254658385093169,ORDERED with align,3,1,0.9254658385093169,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,7,3,0.6823529411764706,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,1,0.9254658385093169,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,2,2,0.7052631578947368,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,1,0.9909774436090225,ORDERED with align,5,4,0.8601503759398496,ORDERED with align,2,2,0.6150375939849623,ORDERED with align,3,0,1.0,ORDERED with align
4,0,0.9999999999999998,ORDERED with align,3,1,0.9995073891625613,ORDERED with align,3,1,0.9995073891625613,ORDERED with align,3,1,0.9995073891625613,ORDERED with align,3,1,0.9995073891625613,ORDERED with align,3,1,0.9995073891625613,ORDERED with align,2,0,1.0,ORDERED with align,3,1,0.9995073891625613,ORDERED with align,3,1,0.9995073891625613,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,2,0.8060606060606059,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,5,2,0.018181818181818184,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,1,0.9991304347826085,ORDERED with align,0,1,0.9991304347826085,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,5,3,0.8787878787878788,ORDERED with align,0,1,0.9991304347826085,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
3,0,0.9999999999999999,ORDERED with align,4,1,0.8953846153846153,ORDERED with align,4,1,0.8953846153846153,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,4,1,0.8953846153846153,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,12,6,0.9635627530364373,ORDERED with align,4,1,0.8953846153846153,ORDERED with align,4,0,0.9999999999999999,ORDERED with align
2,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align
4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,1,0.9988706945228685,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,7,5,0.8761609907120743,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
3,1,0.8787878787878788,ORDERED with align,3,1,0.8787878787878788,ORDERED with align,3,1,0.8787878787878788,ORDERED with align,3,1,0.8787878787878788,ORDERED with align,3,1,0.8787878787878788,ORDERED with align,2,0,1.0,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,3,1,0.8787878787878788,ORDERED with align,3,1,0.8787878787878788,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,8,2,0.7307692307692307,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
3,3,0.9662337662337662,ORDERED with align,4,3,0.9662337662337662,ORDERED with align,5,3,0.8120300751879698,ORDERED with align,5,3,0.8120300751879698,ORDERED with align,4,3,0.9662337662337662,ORDERED with align,3,3,0.9662337662337662,ORDERED with align,3,1,0.8972332015810277,ORDERED with align,5,3,0.8120300751879698,ORDERED with align,3,3,0.9662337662337662,ORDERED with align
3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,5,3,0.6293706293706295,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
5,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,14,11,0.13833992094861663,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
3,3,0.8902255639097743,ORDERED with align,4,2,0.9729323308270676,ORDERED with align,3,3,0.8902255639097743,ORDERED with align,2,2,0.9729323308270676,ORDERED with align,4,2,0.9729323308270676,ORDERED with align,4,2,0.9684210526315788,ORDERED with align,5,0,1.0,ORDERED with align,4,2,0.9729323308270676,ORDERED with align,2,2,0.9729323308270676,ORDERED with align
4,3,0.9011857707509882,ORDERED with align,4,3,0.9011857707509882,ORDERED with align,4,3,0.9011857707509882,ORDERED with align,4,3,0.9011857707509882,ORDERED with align,3,1,0.9100790513833993,ORDERED with align,3,1,0.9100790513833993,ORDERED with align,4,1,0.942857142857143,ORDERED with align,4,3,0.9011857707509882,ORDERED with align,4,3,0.9011857707509882,ORDERED with align
3,1,0.9500000000000001,ORDERED with align,3,1,0.9500000000000001,ORDERED with align,3,1,0.9500000000000001,ORDERED with align,3,1,0.9500000000000001,ORDERED with align,3,1,0.9500000000000001,ORDERED with align,3,1,0.9500000000000001,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,1,0.9500000000000001,ORDERED with align,3,1,0.9500000000000001,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,9,4,0.8534571723426212,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
7,0,0.9999999999999999,ORDERED with align,7,0,0.9999999999999999,ORDERED with align,7,0,0.9999999999999999,ORDERED with align,4,3,0.9306451612903227,ORDERED with align,4,2,0.9952346041055717,ORDERED with align,7,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,7,0,0.9999999999999999,ORDERED with align,7,0,0.9999999999999999,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,2,0.9367588932806324,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
4,2,0.9233082706766916,ORDERED with align,4,1,0.863157894736842,ORDERED with align,4,2,0.9233082706766916,ORDERED with align,4,2,0.9233082706766916,ORDERED with align,4,2,0.9233082706766916,ORDERED with align,2,0,1.0,ORDERED with align,3,2,0.7617647058823529,ORDERED with align,4,1,0.863157894736842,ORDERED with align,4,1,0.863157894736842,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,1,0.8928571428571429,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,2,0.9894736842105262,ORDERED with align,3,2,0.9894736842105262,ORDERED with align,3,2,0.9894736842105262,ORDERED with align,1,0,1.0,ORDERED with align,19,19,0.42918258212375854,ORDERED with align,3,2,0.9894736842105262,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,1,0.9901520954152532,ORDERED with align,5,5,-0.15384615384615383,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9884615384615385,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,9,5,0.8799019607843139,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,1,0.9945054945054945,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,0,0,1.0,ORDERED with align,6,6,0.3323529411764706,ORDERED with align,4,1,0.9833333333333333,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,0,1,0.9727272727272729,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,1,0.9285714285714287,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,1,0.9285714285714287,ORDERED with align,3,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,1,0.8392857142857142,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,1,0.8392857142857142,ORDERED with align,6,1,0.8818181818181818,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,2,0.9,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
0,0,0.9999999999999999,ORDERED with align,2,1,0.9940711462450593,ORDERED with align,2,1,0.9940711462450593,ORDERED with align,2,1,0.9940711462450593,ORDERED with align,2,1,0.9940711462450593,ORDERED with align,2,0,1.0,ORDERED with align,3,1,0.9285714285714285,ORDERED with align,2,1,0.9940711462450593,ORDERED with align,2,1,0.9940711462450593,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,7,5,0.9512032085561498,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,2,0.9792207792207792,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,2,0.9387254901960785,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,2,0.9387254901960785,ORDERED with align,3,0,1.0,ORDERED with align
4,1,0.8333333333333333,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,1,1,0.9636363636363635,ORDERED with align,10,7,0.8695652173913043,ORDERED with align,2,2,0.6969696969696969,ORDERED with align,2,2,0.6969696969696969,ORDERED with align
2,1,0.9851778656126482,ORDERED with align,2,1,0.9851778656126482,ORDERED with align,2,1,0.9851778656126482,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,1,0.9851778656126482,ORDERED with align,2,1,0.9851778656126482,ORDERED with align,6,3,0.6969696969696969,ORDERED with align,2,1,0.9851778656126482,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,5,0,0.9999999999999998,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
5,1,0.9774436090225563,ORDERED with align,2,1,0.9922077922077923,ORDERED with align,5,1,0.9774436090225563,ORDERED with align,3,1,0.9870129870129869,ORDERED with align,5,1,0.9774436090225563,ORDERED with align,4,0,1.0,ORDERED with align,5,4,0.8964912280701753,ORDERED with align,5,1,0.9774436090225563,ORDERED with align,5,1,0.9774436090225563,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,8,1,0.9993162393162391,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,2,3,0.9884004884004883,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,13,5,0.448051948051948,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
5,1,0.9500000000000001,ORDERED with align,5,0,1.0,ORDERED with align,5,1,0.9500000000000001,ORDERED with align,4,2,0.6969696969696969,ORDERED with align,5,1,0.9500000000000001,ORDERED with align,5,0,1.0,ORDERED with align,5,5,0.9844621949885108,ORDERED with align,5,1,0.9500000000000001,ORDERED with align,5,1,0.9500000000000001,ORDERED with align
3,1,0.9705882352941176,ORDERED with align,4,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,1,0.9705882352941176,ORDERED with align
2,0,1.0,ORDERED with align,2,1,0.7582417582417583,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.7582417582417583,ORDERED with align,13,5,0.8942687747035574,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
4,1,0.9866396761133602,ORDERED with align,4,1,0.9866396761133602,ORDERED with align,4,1,0.9866396761133602,ORDERED with align,4,1,0.9866396761133602,ORDERED with align,4,1,0.9967173651384177,ORDERED with align,4,1,0.9967173651384177,ORDERED with align,3,1,0.9984962406015038,ORDERED with align,4,1,0.9866396761133602,ORDERED with align,4,1,0.9866396761133602,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,4,2,0.9357142857142854,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
2,1,0.9966120835686054,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9966120835686054,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
5,1,0.9823529411764707,ORDERED with align,5,1,0.9823529411764707,ORDERED with align,3,0,1.0,ORDERED with align,5,1,0.9823529411764707,ORDERED with align,4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,0,1.0,ORDERED with align,5,1,0.9823529411764707,ORDERED with align
8,3,0.9706380575945794,ORDERED with align,8,3,0.9706380575945794,ORDERED with align,8,4,0.7598814229249011,ORDERED with align,8,4,0.7598814229249011,ORDERED with align,8,2,0.9695087521174479,ORDERED with align,7,2,0.9397233201581027,ORDERED with align,6,4,0.7747252747252747,ORDERED with align,8,3,0.9706380575945794,ORDERED with align,8,3,0.9706380575945794,ORDERED with align
0,1,0.967032967032967,ORDERED with align,3,1,0.9835164835164836,ORDERED with align,0,1,0.967032967032967,ORDERED with align,3,1,0.9835164835164836,ORDERED with align,3,1,0.9835164835164836,ORDERED with align,2,0,1.0,ORDERED with align,10,6,0.9206837606837606,ORDERED with align,3,1,0.9835164835164836,ORDERED with align,3,1,0.9835164835164836,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,6,8,0.34912280701754383,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,6,2,0.9752321981424149,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,11,6,0.30660643704121965,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align
4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,16,5,0.7956656346749225,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,5,2,0.5454545454545455,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,0,1,0.9636363636363635,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,0,1,0.9636363636363635,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,9,1,0.9938461538461538,ORDERED with align,0,1,0.9636363636363635,ORDERED with align,0,1,0.9636363636363635,ORDERED with align
2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,5,5,0.9272727272727272,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,1,0.9938080495356036,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,8,3,0.9752321981424149,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
3,1,0.9382352941176471,ORDERED with align,3,1,0.9382352941176471,ORDERED with align,3,1,0.9382352941176471,ORDERED with align,3,1,0.9558823529411766,ORDERED with align,3,1,0.9382352941176471,ORDERED with align,2,0,1.0,ORDERED with align,6,1,0.9879679144385028,ORDERED with align,3,1,0.9382352941176471,ORDERED with align,3,1,0.9382352941176471,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,3,0.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
