,,5refs,,,,1refs,,,,8refs,,,,2refs,,,,6refs,,,,3refs,,,,4refs,,,,gold,,,,7refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
26,17,0.2998712998712999,ORDERED with align,26,17,0.2998712998712999,ORDERED with align,26,18,0.25405405405405407,ORDERED with align,26,17,0.2998712998712999,ORDERED with align,26,18,0.25405405405405407,ORDERED with align,26,17,0.2998712998712999,ORDERED with align,32,8,0.17647058823529413,ORDERED with align,4,1,0.9935828877005346,ORDERED with align,32,8,0.17647058823529413,ORDERED with align
18,5,0.018181818181818184,ORDERED with align,18,5,0.018181818181818184,ORDERED with align,18,5,0.018181818181818184,ORDERED with align,18,5,0.018181818181818184,ORDERED with align,18,5,0.018181818181818184,ORDERED with align,31,10,0.057894736842105256,ORDERED with align,18,5,0.018181818181818184,ORDERED with align,3,0,1.0,ORDERED with align,18,5,0.018181818181818184,ORDERED with align
31,13,0.5217741935483872,ORDERED with align,34,2,0.7999999999999999,ORDERED with align,31,13,0.5217741935483872,ORDERED with align,31,13,0.5217741935483872,ORDERED with align,31,13,0.5217741935483872,ORDERED with align,31,8,0.25902992776057787,ORDERED with align,31,13,0.5217741935483872,ORDERED with align,20,6,0.6584415584415585,ORDERED with align,31,13,0.5217741935483872,ORDERED with align
18,3,0.3571428571428572,ORDERED with align,32,10,0.28421052631578947,ORDERED with align,18,3,0.3571428571428572,ORDERED with align,1,0,1.0,ORDERED with align,18,3,0.3571428571428572,ORDERED with align,21,5,0.2529411764705882,ORDERED with align,18,3,0.3571428571428572,ORDERED with align,10,0,0.9999999999999999,ORDERED with align,18,3,0.3571428571428572,ORDERED with align
19,5,0.5636363636363636,ORDERED with align,19,5,0.5636363636363636,ORDERED with align,19,5,0.5636363636363636,ORDERED with align,11,4,0.2380952380952381,ORDERED with align,19,5,0.5636363636363636,ORDERED with align,11,4,0.2380952380952381,ORDERED with align,19,5,0.5636363636363636,ORDERED with align,8,0,1.0,ORDERED with align,19,5,0.5636363636363636,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,32,8,0.17058823529411765,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,32,8,0.17058823529411765,ORDERED with align,2,0,1.0,ORDERED with align,5,3,-0.5868131868131868,ORDERED with align,32,8,0.17058823529411765,ORDERED with align
32,11,0.38565782044042923,ORDERED with align,32,11,0.38565782044042923,ORDERED with align,22,6,0.35294117647058826,ORDERED with align,32,11,0.38565782044042923,ORDERED with align,32,11,0.38565782044042923,ORDERED with align,22,3,0.10000000000000002,ORDERED with align,32,11,0.38565782044042923,ORDERED with align,7,4,0.9751552795031055,ORDERED with align,22,6,0.35294117647058826,ORDERED with align
21,8,0.5984962406015037,ORDERED with align,21,4,-0.09090909090909088,ORDERED with align,21,4,-0.09090909090909088,ORDERED with align,21,4,-0.09090909090909088,ORDERED with align,21,4,-0.09090909090909088,ORDERED with align,20,10,0.033766233766233764,ORDERED with align,21,4,-0.09090909090909088,ORDERED with align,4,3,0.9559570863918693,ORDERED with align,21,4,-0.09090909090909088,ORDERED with align
9,2,0.9047619047619048,ORDERED with align,23,5,-0.11904761904761905,ORDERED with align,20,2,0.3333333333333334,ORDERED with align,23,5,-0.11904761904761905,ORDERED with align,23,5,-0.11904761904761905,ORDERED with align,9,2,0.9047619047619048,ORDERED with align,23,5,-0.11904761904761905,ORDERED with align,4,0,1.0,ORDERED with align,22,4,-0.261904761904762,ORDERED with align
21,3,-0.2142857142857143,ORDERED with align,21,3,-0.2142857142857143,ORDERED with align,22,3,-0.2142857142857143,ORDERED with align,21,3,-0.2142857142857143,ORDERED with align,21,3,-0.2142857142857143,ORDERED with align,21,3,-0.2142857142857143,ORDERED with align,21,3,-0.2142857142857143,ORDERED with align,3,1,0.9,ORDERED with align,21,3,-0.2142857142857143,ORDERED with align
20,5,0.04195804195804196,ORDERED with align,20,5,0.04195804195804196,ORDERED with align,20,5,0.04195804195804196,ORDERED with align,20,5,0.04195804195804196,ORDERED with align,20,5,0.04195804195804196,ORDERED with align,20,5,0.04195804195804196,ORDERED with align,20,5,0.04195804195804196,ORDERED with align,2,1,0.9991304347826085,ORDERED with align,20,5,0.04195804195804196,ORDERED with align
24,9,0.4541353383458646,ORDERED with align,23,5,0.0,ORDERED with align,23,5,0.0,ORDERED with align,24,9,0.4541353383458646,ORDERED with align,23,5,0.0,ORDERED with align,23,5,0.0,ORDERED with align,23,5,0.0,ORDERED with align,11,2,0.9958720330237358,ORDERED with align,25,8,0.6666666666666666,ORDERED with align
14,3,0.880952380952381,ORDERED with align,20,5,0.3272727272727273,ORDERED with align,20,5,0.3272727272727273,ORDERED with align,14,3,0.880952380952381,ORDERED with align,20,5,0.3272727272727273,ORDERED with align,20,5,0.3272727272727273,ORDERED with align,20,5,0.3272727272727273,ORDERED with align,4,3,0.6783216783216784,ORDERED with align,14,3,0.880952380952381,ORDERED with align
22,3,-0.2606060606060606,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,22,3,-0.2606060606060606,ORDERED with align
36,9,0.44155844155844154,ORDERED with align,37,8,0.3021978021978022,ORDERED with align,36,9,0.44155844155844154,ORDERED with align,37,8,0.3021978021978022,ORDERED with align,36,9,0.44155844155844154,ORDERED with align,37,8,0.3021978021978022,ORDERED with align,36,9,0.44155844155844154,ORDERED with align,10,5,0.9851540616246499,ORDERED with align,36,9,0.44155844155844154,ORDERED with align
24,10,0.29705882352941176,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,24,5,0.6648351648351648,ORDERED with align,24,10,0.29705882352941176,ORDERED with align,24,5,0.6648351648351648,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,24,5,0.6648351648351648,ORDERED with align,8,1,0.9849624060150375,ORDERED with align,24,5,0.6648351648351648,ORDERED with align
21,4,0.8021978021978022,ORDERED with align,27,4,0.6318681318681317,ORDERED with align,27,4,0.6318681318681317,ORDERED with align,28,8,0.7035087719298245,ORDERED with align,27,4,0.6318681318681317,ORDERED with align,2,0,1.0,ORDERED with align,27,4,0.6318681318681317,ORDERED with align,8,1,0.985294117647059,ORDERED with align,27,4,0.6318681318681317,ORDERED with align
22,7,0.6151960784313726,ORDERED with align,34,7,0.2263157894736842,ORDERED with align,32,6,0.524561403508772,ORDERED with align,32,6,0.524561403508772,ORDERED with align,22,7,0.6151960784313726,ORDERED with align,3,0,1.0,ORDERED with align,22,7,0.6151960784313726,ORDERED with align,11,2,0.988235294117647,ORDERED with align,22,7,0.6151960784313726,ORDERED with align
35,11,0.44957264957264953,ORDERED with align,8,3,0.8238283455674761,ORDERED with align,24,13,0.2505982905982906,ORDERED with align,23,9,0.575381140598532,ORDERED with align,33,12,0.43247863247863244,ORDERED with align,35,11,0.44957264957264953,ORDERED with align,33,12,0.43247863247863244,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,33,12,0.43247863247863244,ORDERED with align
12,5,0.21818181818181823,ORDERED with align,12,5,0.21818181818181823,ORDERED with align,12,5,0.21818181818181823,ORDERED with align,12,5,0.21818181818181823,ORDERED with align,21,5,0.2912087912087912,ORDERED with align,21,5,0.2912087912087912,ORDERED with align,21,5,0.2912087912087912,ORDERED with align,0,0,1.0,ORDERED with align,12,5,0.21818181818181823,ORDERED with align
19,10,0.2648221343873518,ORDERED with align,20,9,0.6984754376058724,ORDERED with align,19,10,0.2648221343873518,ORDERED with align,20,9,0.6984754376058724,ORDERED with align,19,5,0.1258741258741259,ORDERED with align,19,5,0.1258741258741259,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,19,10,0.2648221343873518,ORDERED with align
20,5,0.02727272727272728,ORDERED with align,20,5,0.02727272727272728,ORDERED with align,20,5,0.02727272727272728,ORDERED with align,20,6,0.2797202797202798,ORDERED with align,20,5,0.02727272727272728,ORDERED with align,20,5,0.02727272727272728,ORDERED with align,11,3,-0.6571428571428573,ORDERED with align,2,0,1.0,ORDERED with align,20,5,0.02727272727272728,ORDERED with align
21,3,0.08571428571428573,ORDERED with align,21,3,0.08571428571428573,ORDERED with align,21,3,0.08571428571428573,ORDERED with align,21,3,0.08571428571428573,ORDERED with align,21,3,0.08571428571428573,ORDERED with align,21,3,0.08571428571428573,ORDERED with align,18,3,0.6923076923076924,ORDERED with align,5,1,0.9736842105263157,ORDERED with align,21,3,0.08571428571428573,ORDERED with align
40,4,-0.43030303030303024,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align,14,14,0.7165991902834008,ORDERED with align,40,4,-0.43030303030303024,ORDERED with align
20,3,-0.2571428571428572,ORDERED with align,20,3,-0.2571428571428572,ORDERED with align,21,3,-0.028571428571428574,ORDERED with align,20,3,-0.2571428571428572,ORDERED with align,14,1,0.7,ORDERED with align,21,3,-0.028571428571428574,ORDERED with align,21,3,-0.028571428571428574,ORDERED with align,0,0,1.0,ORDERED with align,21,3,-0.028571428571428574,ORDERED with align
15,4,0.5393939393939393,ORDERED with align,15,4,-0.04242424242424241,ORDERED with align,20,3,-0.41666666666666663,ORDERED with align,15,4,-0.04242424242424241,ORDERED with align,20,5,-0.6969696969696969,ORDERED with align,15,4,0.5393939393939393,ORDERED with align,15,4,0.5393939393939393,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,15,4,0.5393939393939393,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,14,7,0.8647058823529412,ORDERED with align,18,7,0.45294117647058824,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,1,0.9938080495356036,ORDERED with align,3,0,1.0,ORDERED with align
17,5,0.6043956043956044,ORDERED with align,16,7,0.48571428571428565,ORDERED with align,16,7,0.48571428571428565,ORDERED with align,18,5,0.5164835164835164,ORDERED with align,16,7,0.48571428571428565,ORDERED with align,16,7,0.48571428571428565,ORDERED with align,16,7,0.48571428571428565,ORDERED with align,2,0,1.0,ORDERED with align,16,7,0.48571428571428565,ORDERED with align
21,7,0.4647058823529412,ORDERED with align,21,7,0.05054945054945055,ORDERED with align,21,6,0.2527472527472528,ORDERED with align,20,8,0.3037593984962406,ORDERED with align,21,7,0.05054945054945055,ORDERED with align,21,6,0.2527472527472528,ORDERED with align,21,6,0.2527472527472528,ORDERED with align,2,0,1.0,ORDERED with align,21,7,0.05054945054945055,ORDERED with align
21,7,0.7098901098901099,ORDERED with align,37,6,0.5323529411764706,ORDERED with align,21,7,0.7098901098901099,ORDERED with align,21,7,0.7098901098901099,ORDERED with align,21,7,0.7098901098901099,ORDERED with align,21,7,0.7098901098901099,ORDERED with align,21,7,0.7098901098901099,ORDERED with align,3,0,1.0,ORDERED with align,21,7,0.7098901098901099,ORDERED with align
39,5,0.6351648351648352,ORDERED with align,20,5,0.4450549450549451,ORDERED with align,39,5,0.6351648351648352,ORDERED with align,39,5,0.6351648351648352,ORDERED with align,39,5,0.6351648351648352,ORDERED with align,39,5,0.6351648351648352,ORDERED with align,39,5,0.6351648351648352,ORDERED with align,1,0,1.0,ORDERED with align,39,5,0.6351648351648352,ORDERED with align
1,0,1.0,ORDERED with align,15,4,0.5164835164835165,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,15,4,0.5164835164835165,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
27,6,-0.02857142857142857,ORDERED with align,31,8,0.34952004517221913,ORDERED with align,27,6,-0.02857142857142857,ORDERED with align,27,6,-0.02857142857142857,ORDERED with align,27,7,0.4070175438596491,ORDERED with align,27,6,-0.02857142857142857,ORDERED with align,27,6,-0.02857142857142857,ORDERED with align,15,0,1.0,ORDERED with align,27,6,-0.02857142857142857,ORDERED with align
12,6,0.4125874125874127,ORDERED with align,12,6,0.4125874125874127,ORDERED with align,12,6,0.4125874125874127,ORDERED with align,12,6,0.4125874125874127,ORDERED with align,12,6,0.4125874125874127,ORDERED with align,12,6,0.4125874125874127,ORDERED with align,12,6,0.4125874125874127,ORDERED with align,5,2,0.6868131868131868,ORDERED with align,12,6,0.4125874125874127,ORDERED with align
22,8,0.22352941176470587,ORDERED with align,22,8,0.22352941176470587,ORDERED with align,22,8,0.22352941176470587,ORDERED with align,22,8,0.22352941176470587,ORDERED with align,22,8,0.22352941176470587,ORDERED with align,22,8,0.22352941176470587,ORDERED with align,22,8,0.22352941176470587,ORDERED with align,13,4,0.3216783216783217,ORDERED with align,22,8,0.22352941176470587,ORDERED with align
23,7,0.11176470588235293,ORDERED with align,32,7,0.42156862745098045,ORDERED with align,23,7,0.11176470588235293,ORDERED with align,32,7,0.42156862745098045,ORDERED with align,23,7,0.11176470588235293,ORDERED with align,32,7,0.42156862745098045,ORDERED with align,23,7,0.11176470588235293,ORDERED with align,2,0,1.0,ORDERED with align,23,7,0.11176470588235293,ORDERED with align
31,6,-0.13736263736263735,ORDERED with align,22,6,0.8549450549450549,ORDERED with align,31,6,-0.13736263736263735,ORDERED with align,22,6,0.8549450549450549,ORDERED with align,31,6,-0.13736263736263735,ORDERED with align,22,6,0.8549450549450549,ORDERED with align,31,6,-0.13736263736263735,ORDERED with align,1,0,1.0,ORDERED with align,31,6,-0.13736263736263735,ORDERED with align
21,7,0.2524509803921569,ORDERED with align,23,5,0.4535714285714285,ORDERED with align,21,7,0.2524509803921569,ORDERED with align,21,7,0.2524509803921569,ORDERED with align,23,5,0.4535714285714285,ORDERED with align,23,5,0.4535714285714285,ORDERED with align,21,7,0.2524509803921569,ORDERED with align,4,0,1.0,ORDERED with align,21,7,0.2524509803921569,ORDERED with align
14,7,0.5073529411764706,ORDERED with align,1,0,1.0,ORDERED with align,14,7,0.5073529411764706,ORDERED with align,14,7,0.5073529411764706,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,14,7,0.5073529411764706,ORDERED with align,0,0,1.0,ORDERED with align,14,7,0.5073529411764706,ORDERED with align
18,5,0.5208791208791209,ORDERED with align,18,4,0.049999999999999996,ORDERED with align,18,5,0.5208791208791209,ORDERED with align,18,4,0.049999999999999996,ORDERED with align,18,5,0.5208791208791209,ORDERED with align,18,5,0.5208791208791209,ORDERED with align,18,5,0.5208791208791209,ORDERED with align,5,6,-0.05294117647058824,ORDERED with align,18,5,0.5208791208791209,ORDERED with align
22,4,0.5000000000000001,ORDERED with align,1,0,1.0,ORDERED with align,22,4,0.5000000000000001,ORDERED with align,1,0,1.0,ORDERED with align,22,4,0.5000000000000001,ORDERED with align,22,4,0.5000000000000001,ORDERED with align,22,4,0.5000000000000001,ORDERED with align,12,5,0.8285714285714284,ORDERED with align,22,4,0.5000000000000001,ORDERED with align
25,11,0.02631578947368421,ORDERED with align,22,3,0.7142857142857144,ORDERED with align,25,11,0.02631578947368421,ORDERED with align,25,11,0.02631578947368421,ORDERED with align,25,11,0.02631578947368421,ORDERED with align,25,11,0.02631578947368421,ORDERED with align,25,11,0.02631578947368421,ORDERED with align,4,0,1.0,ORDERED with align,25,11,0.02631578947368421,ORDERED with align
9,2,0.7500000000000002,ORDERED with align,27,4,0.2333333333333333,ORDERED with align,9,2,0.7500000000000002,ORDERED with align,9,2,0.7500000000000002,ORDERED with align,9,2,0.7500000000000002,ORDERED with align,9,2,0.7142857142857143,ORDERED with align,9,2,0.7500000000000002,ORDERED with align,2,0,1.0,ORDERED with align,9,2,0.7142857142857143,ORDERED with align
19,8,0.5909090909090908,ORDERED with align,19,8,0.5909090909090908,ORDERED with align,19,8,0.5909090909090908,ORDERED with align,19,8,0.5909090909090908,ORDERED with align,19,8,0.5909090909090908,ORDERED with align,19,8,0.5909090909090908,ORDERED with align,19,8,0.5909090909090908,ORDERED with align,2,0,1.0,ORDERED with align,19,8,0.5909090909090908,ORDERED with align
27,11,0.16205533596837948,ORDERED with align,27,11,0.16205533596837948,ORDERED with align,27,11,0.16205533596837948,ORDERED with align,27,11,0.16205533596837948,ORDERED with align,27,11,0.16205533596837948,ORDERED with align,27,11,0.16205533596837948,ORDERED with align,27,11,0.16205533596837948,ORDERED with align,0,0,1.0,ORDERED with align,27,11,0.16205533596837948,ORDERED with align
19,5,0.4727272727272727,ORDERED with align,1,0,1.0,ORDERED with align,19,5,0.4727272727272727,ORDERED with align,19,5,0.4727272727272727,ORDERED with align,19,5,0.4727272727272727,ORDERED with align,1,0,1.0,ORDERED with align,19,5,0.4727272727272727,ORDERED with align,3,0,1.0,ORDERED with align,19,5,0.4727272727272727,ORDERED with align
20,3,0.6571428571428573,ORDERED with align,9,2,-0.14285714285714288,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,9,2,-0.14285714285714288,ORDERED with align,20,3,0.6571428571428573,ORDERED with align,0,0,1.0,ORDERED with align,20,3,0.6571428571428573,ORDERED with align
30,11,0.6206896551724138,ORDERED with align,30,11,0.6206896551724138,ORDERED with align,30,11,0.6206896551724138,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,30,11,0.6206896551724138,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,30,11,0.6206896551724138,ORDERED with align,8,8,0.9419813902572524,ORDERED with align,30,11,0.6206896551724138,ORDERED with align
25,5,0.19999999999999998,ORDERED with align,27,4,0.3696969696969697,ORDERED with align,25,5,0.19999999999999998,ORDERED with align,16,3,0.33333333333333326,ORDERED with align,25,5,0.19999999999999998,ORDERED with align,16,3,0.33333333333333326,ORDERED with align,25,5,0.19999999999999998,ORDERED with align,7,3,0.09999999999999999,ORDERED with align,25,5,0.19999999999999998,ORDERED with align
29,7,0.002450980392156863,ORDERED with align,29,7,0.002450980392156863,ORDERED with align,29,7,0.002450980392156863,ORDERED with align,34,12,0.03503010399562124,ORDERED with align,29,7,0.002450980392156863,ORDERED with align,0,0,1.0,ORDERED with align,29,7,0.002450980392156863,ORDERED with align,14,2,0.9368421052631578,ORDERED with align,29,7,0.002450980392156863,ORDERED with align
26,8,-0.09068627450980393,ORDERED with align,24,8,0.6676986584107326,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align,26,8,-0.09068627450980393,ORDERED with align,26,8,-0.09068627450980393,ORDERED with align,27,11,0.1736842105263158,ORDERED with align,26,8,-0.09068627450980393,ORDERED with align,10,4,-0.21678321678321683,ORDERED with align,29,7,-0.02450980392156863,ORDERED with align
23,13,0.5261538461538461,ORDERED with align,25,7,0.6321428571428571,ORDERED with align,23,13,0.5261538461538461,ORDERED with align,29,9,0.8389328063241107,ORDERED with align,23,13,0.5261538461538461,ORDERED with align,3,1,0.9994526546250683,ORDERED with align,23,13,0.5261538461538461,ORDERED with align,14,3,0.8470588235294119,ORDERED with align,23,13,0.5261538461538461,ORDERED with align
31,8,0.5636363636363637,ORDERED with align,34,11,0.5053642010163749,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,27,9,0.5708639186900057,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,24,8,0.3941176470588235,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,2,0.9902319902319903,ORDERED with align,2,0,0.9999999999999998,ORDERED with align
23,5,0.7058823529411764,ORDERED with align,29,10,0.448051948051948,ORDERED with align,23,5,0.7058823529411764,ORDERED with align,29,10,0.448051948051948,ORDERED with align,29,10,0.448051948051948,ORDERED with align,3,1,0.9976923076923077,ORDERED with align,23,5,0.7058823529411764,ORDERED with align,23,3,0.04761904761904763,ORDERED with align,29,10,0.448051948051948,ORDERED with align
39,14,0.49655172413793097,ORDERED with align,38,12,0.5439316239316239,ORDERED with align,37,13,0.44827586206896547,ORDERED with align,37,6,0.22647058823529412,ORDERED with align,37,6,0.22647058823529412,ORDERED with align,39,16,0.5331143951833607,ORDERED with align,37,13,0.44827586206896547,ORDERED with align,18,3,0.9733333333333332,ORDERED with align,37,6,0.22647058823529412,ORDERED with align
16,3,0.261904761904762,ORDERED with align,17,9,0.5465686274509804,ORDERED with align,16,3,0.261904761904762,ORDERED with align,16,3,0.261904761904762,ORDERED with align,16,3,0.261904761904762,ORDERED with align,16,3,0.261904761904762,ORDERED with align,17,9,0.5465686274509804,ORDERED with align,11,5,0.7832167832167832,ORDERED with align,16,3,0.261904761904762,ORDERED with align
22,7,0.6947368421052632,ORDERED with align,23,5,-0.38333333333333336,ORDERED with align,22,7,0.6947368421052632,ORDERED with align,22,7,0.6947368421052632,ORDERED with align,22,7,0.6947368421052632,ORDERED with align,35,10,0.35826086956521735,ORDERED with align,23,5,-0.38333333333333336,ORDERED with align,7,1,0.9683794466403164,ORDERED with align,22,7,0.6947368421052632,ORDERED with align
26,6,0.6705882352941177,ORDERED with align,25,5,0.5882352941176471,ORDERED with align,26,6,0.6705882352941177,ORDERED with align,17,6,0.5678571428571427,ORDERED with align,16,6,0.3131868131868132,ORDERED with align,17,6,0.5678571428571427,ORDERED with align,16,6,0.3131868131868132,ORDERED with align,10,4,-0.5176470588235293,ORDERED with align,16,6,0.3131868131868132,ORDERED with align
14,3,0.7636363636363637,ORDERED with align,14,3,0.7636363636363637,ORDERED with align,13,4,0.7902097902097903,ORDERED with align,34,10,0.2735294117647059,ORDERED with align,23,6,0.5692307692307692,ORDERED with align,23,6,0.5692307692307692,ORDERED with align,36,9,0.3205882352941176,ORDERED with align,1,2,0.7,ORDERED with align,23,6,0.5692307692307692,ORDERED with align
25,7,0.4705882352941176,ORDERED with align,34,14,0.6480533926585095,ORDERED with align,34,14,0.6480533926585095,ORDERED with align,25,5,0.6538461538461539,ORDERED with align,25,7,0.4705882352941176,ORDERED with align,27,4,0.7832167832167832,ORDERED with align,26,13,0.5843478260869565,ORDERED with align,21,7,-0.07058823529411765,ORDERED with align,34,14,0.6480533926585095,ORDERED with align
38,5,0.43030303030303024,ORDERED with align,15,4,0.19047619047619052,ORDERED with align,15,4,0.19047619047619052,ORDERED with align,23,3,0.016666666666666666,ORDERED with align,38,5,0.43030303030303024,ORDERED with align,16,6,0.16363636363636364,ORDERED with align,15,4,0.19047619047619052,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,15,4,0.19047619047619052,ORDERED with align
25,6,0.5034965034965035,ORDERED with align,25,6,0.5034965034965035,ORDERED with align,25,6,0.5034965034965035,ORDERED with align,25,6,0.5034965034965035,ORDERED with align,25,6,0.5034965034965035,ORDERED with align,25,6,0.5034965034965035,ORDERED with align,25,6,0.5034965034965035,ORDERED with align,5,0,1.0,ORDERED with align,25,6,0.5034965034965035,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,26,6,0.0,ORDERED with align,1,0,1.0,ORDERED with align,27,5,-0.23076923076923078,ORDERED with align,27,5,-0.23076923076923078,ORDERED with align,10,5,-0.09782608695652174,ORDERED with align,1,0,0.9999999999999998,ORDERED with align
16,5,0.5034965034965035,ORDERED with align,0,0,1.0,ORDERED with align,16,5,0.5034965034965035,ORDERED with align,25,6,0.661764705882353,ORDERED with align,16,5,0.5034965034965035,ORDERED with align,26,8,0.5318627450980392,ORDERED with align,0,0,1.0,ORDERED with align,9,0,0.9999999999999999,ORDERED with align,16,5,0.5034965034965035,ORDERED with align
18,7,0.6838235294117648,ORDERED with align,3,0,1.0,ORDERED with align,18,7,0.6838235294117648,ORDERED with align,18,7,0.6838235294117648,ORDERED with align,18,7,0.6838235294117648,ORDERED with align,18,7,0.6838235294117648,ORDERED with align,3,0,1.0,ORDERED with align,2,2,0.8988648090815273,ORDERED with align,18,7,0.6838235294117648,ORDERED with align
24,9,0.5203007518796992,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,24,9,0.5203007518796992,ORDERED with align,24,9,0.5203007518796992,ORDERED with align,24,9,0.5203007518796992,ORDERED with align,24,9,0.5203007518796992,ORDERED with align,26,12,0.44538461538461543,ORDERED with align,9,0,1.0,ORDERED with align,24,9,0.5203007518796992,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,21,4,-0.03571428571428572,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,6,2,0.9278195488721804,ORDERED with align,21,4,-0.03571428571428572,ORDERED with align
13,3,0.7500000000000002,ORDERED with align,13,3,0.7500000000000002,ORDERED with align,13,3,0.7500000000000002,ORDERED with align,25,6,-0.16083916083916086,ORDERED with align,20,6,-0.4545454545454545,ORDERED with align,25,4,0.3181818181818182,ORDERED with align,25,4,0.3181818181818182,ORDERED with align,2,2,0.8626373626373626,ORDERED with align,20,6,-0.4545454545454545,ORDERED with align
27,10,0.5402597402597402,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,27,10,0.5402597402597402,ORDERED with align,27,10,0.5402597402597402,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,28,3,0.3571428571428572,ORDERED with align,28,3,0.3571428571428572,ORDERED with align,7,2,0.9397233201581027,ORDERED with align,27,10,0.5402597402597402,ORDERED with align
22,12,0.3025974025974026,ORDERED with align,18,8,0.21428571428571427,ORDERED with align,22,12,0.3025974025974026,ORDERED with align,20,2,0.5714285714285715,ORDERED with align,24,7,0.6887254901960785,ORDERED with align,22,12,0.3025974025974026,ORDERED with align,22,12,0.3025974025974026,ORDERED with align,5,1,0.9954887218045112,ORDERED with align,22,12,0.3025974025974026,ORDERED with align
19,11,0.025799793601651185,ORDERED with align,19,11,0.025799793601651185,ORDERED with align,19,11,0.025799793601651185,ORDERED with align,19,11,0.025799793601651185,ORDERED with align,19,11,0.025799793601651185,ORDERED with align,19,11,0.025799793601651185,ORDERED with align,19,11,0.025799793601651185,ORDERED with align,5,0,1.0,ORDERED with align,19,11,0.025799793601651185,ORDERED with align
